,Year founded,Brewery Name,Beer names,Label or logo imagery,Water,Energy,Waste,Formal Program,Employee volunteerism or charity,Local business engagement,Great Lakes,Total,Local.total,Env.total,comm.total,Average,local.avg,env.avg,comm.avg
MillerCoors,1855,0,1,1,1,1,1,1,1,1,1,9,2,3,3,0.9,0.666666667,1,1
Sprecher,1985,0,0,0,0,1,1,1,0,1,0,4,0,2,2,0.4,0,0.666666667,0.666666667
Lakefront,1987,1,1,1,1,1,1,1,1,1,1,10,3,3,3,1,1,1,1
Water Street,1987,1,1,1,0,0,0,1,0,1,0,5,3,0,2,0.5,1,0,0.666666667
New Glarus Brewing,1993,1,1,1,1,1,1,1,1,1,0,9,3,3,3,0.9,1,1,1
Milwaukee Brewing Co,1997,1,1,1,1,1,1,1,1,1,1,10,3,3,3,1,1,1,1
St Francis,2009,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0.2,0.333333333,0,0.333333333
Enlightened,2013,0,1,0,0,0,0,0,1,1,0,3,1,0,2,0.3,0.333333333,0,0.666666667
D14,2014,1,0,1,0,0,0,0,0,1,0,3,2,0,1,0.3,0.666666667,0,0.333333333
Company,2015,0,1,0,0,0,0,0,1,1,0,3,1,0,2,0.3,0.333333333,0,0.666666667
Third Space,2016,0,1,1,0,0,0,1,1,1,1,6,2,0,3,0.6,0.666666667,0,1
City Lights,2016,0,0,1,0,1,0,1,0,1,1,5,1,1,2,0.5,0.333333333,0.333333333,0.666666667
MobCraft,2016,0,1,1,0,0,0,1,0,1,0,4,2,0,2,0.4,0.666666667,0,0.666666667
Good City,2016,0,0,0,0,0,0,1,1,1,1,4,0,0,3,0.4,0,0,1
Urban Harvest,2016,0,1,0,0,0,0,1,0,1,0,3,1,0,2,0.3,0.333333333,0,0.666666667
Bavarian Bierhaus,2016,0,0,0,0,1,0,1,0,0,0,2,0,1,1,0.2,0,0.333333333,0.333333333
Black Husky,2017,0,0,0,0,0,1,1,1,1,0,4,0,1,3,0.4,0,0.333333333,1
Broken Bat,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,2017,1,0,0,0,1,0,1,0,1,0,4,1,1,2,0.4,0.333333333,0.333333333,0.666666667
Eagle Park,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
